date,new_diagnoses,new_tests,new_deaths
2020-03-01,1,24,0
2020-03-02,3,22,0
2020-03-03,2,15,0
2020-03-04,8,40,0
2020-03-05,20,38,0
2020-03-06,9,61,0
2020-03-07,6,43,0
2020-03-08,13,98,0
2020-03-09,6,93,0
2020-03-10,25,170,0
2020-03-11,28,368,0
2020-03-12,27,437,0
2020-03-13,22,291,2
2020-03-14,43,328,0
2020-03-15,76,1147,0
2020-03-16,65,1438,1
2020-03-17,88,1209,0
2020-03-18,86,1269,0
2020-03-19,115,1195,1
2020-03-20,51,529,0
2020-03-21,55,482,3
2020-03-22,95,1106,2
2020-03-23,74,471,1
2020-03-24,63,438,4
2020-03-25,178,1111,2
2020-03-26,83,621,1
2020-03-27,140,1059,2
2020-03-28,137,951,1
2020-03-29,150,964,0
2020-03-30,144,1058,1
2020-04-03,145,1058,1
2020-04-11,0,0,1
