Age,Percent
15,0.441
16,0.441
17,0.441
18,0.441
19,0.441
20,0.746
21,0.746
22,0.746
23,0.746
24,0.746
25,0.842
26,0.842
27,0.842
28,0.842
29,0.842
30,0.847
31,0.847
32,0.847
33,0.847
34,0.847
35,0.839
36,0.839
37,0.839
38,0.839
39,0.839
40,0.835
41,0.835
42,0.835
43,0.835
44,0.835
45,0.81
46,0.81
47,0.81
48,0.81
49,0.81
50,0.738
51,0.738
52,0.738
53,0.738
54,0.738
55,0.465
56,0.465
57,0.465
58,0.465
59,0.465
60,0.125
61,0.125
62,0.125
63,0.125
64,0.125
65,0.119
66,0.119
67,0.119
68,0.119
69,0.119
70,0.022
71,0.022
72,0.022
73,0.022
74,0.022
75,0.022
76,0.022
77,0.022
78,0.022
79,0.022
80,0.022
81,0.022
82,0.022
83,0.022
84,0.022
85,0.022
86,0.022
87,0.022
88,0.022
89,0.022
90,0.022
91,0.022
92,0.022
93,0.022
94,0.022
95,0.022
96,0.022
97,0.022
98,0.022
99,0.022
100,0.022
